step,transport_delta_dx,transport_delta_dy,true_delta_dx,true_delta_dy,transport_delta_nonzero,true_delta_nonzero,delta_match,transport_mae_pre,transport_mae_post,transport_norm,mae_pos_prior,mae_pos_prior_unobs,mae_pos_unobs_pre,mae_pos_unobs_post,periph_dims_missing,candidate_count,clamped_count,transport_source,periph_selected,diff_count
0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,10
1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,10
2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.023438,0.023438,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,8
3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,9
4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.035156,0.035156,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,15
5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,12
6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.023438,0.023438,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,18
7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,18
8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.070312,0.070312,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,18
9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,6
10,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.011719,0.011719,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,12
11,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,15
12,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.035156,0.035156,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,15
13,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,12
14,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.046875,0.046875,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,12
15,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,6
16,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,12
17,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,18
18,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.058594,0.058594,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,18
19,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,9
20,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.035156,0.035156,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,15
21,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,12
22,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.023438,0.023438,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,18
23,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,18
24,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.070312,0.070312,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,18
25,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,6
26,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.011719,0.011719,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,12
27,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,15
28,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.035156,0.035156,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,15
29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,12
30,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.046875,0.046875,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,12
31,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,6
32,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,12
33,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,18
34,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.058594,0.058594,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,18
35,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,9
36,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.035156,0.035156,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,15
37,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,12
38,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.023438,0.023438,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,18
39,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,18
40,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.070312,0.070312,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,18
41,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,6
42,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.011719,0.011719,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,12
43,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,15
44,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.035156,0.035156,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,15
45,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,12
46,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.046875,0.046875,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,12
47,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,6
48,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,12
49,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,18
50,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.058594,0.058594,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,18
51,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,9
52,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.035156,0.035156,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,15
53,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,12
